0 Uu Uu Uu Uu Uu Uu Uu Uu
0.00032399999999999996 1s 1s 1s 1s 0s 1s 0s 1s
0.000328 1s 1s 1s 1s 0s 1s 0s 0s
0.000332 1s 1s 1s 1s 0s 0s 1s 1s
0.000336 1s 1s 1s 1s 0s 0s 0s 1s
0.00033999999999999997 1s 1s 1s 1s 0s 0s 0s 0s
0.00034399999999999996 1s 1s 1s 0s 1s 1s 1s 0s
0.000348 1s 1s 1s 0s 1s 1s 0s 1s
0.000352 1s 1s 1s 0s 1s 0s 1s 1s
0.000356 1s 1s 1s 0s 1s 0s 0s 1s
0.00035999999999999997 1s 1s 1s 0s 1s 0s 0s 0s
0.00036399999999999996 1s 1s 1s 0s 0s 1s 1s 0s
0.000368 1s 1s 1s 0s 0s 1s 0s 0s
0.000372 1s 1s 1s 0s 0s 0s 1s 0s
0.000376 1s 1s 1s 0s 0s 0s 0s 0s
0.00037999999999999997 1s 1s 0s 1s 1s 1s 1s 0s
0.000384 1s 1s 0s 1s 1s 0s 1s 1s
0.000388 1s 1s 0s 1s 1s 0s 0s 1s
0.000392 1s 1s 0s 1s 0s 1s 1s 1s
0.000396 1s 1s 0s 1s 0s 1s 0s 1s
0.00039999999999999996 1s 1s 0s 1s 0s 0s 1s 0s
0.000404 1s 1s 0s 1s 0s 0s 0s 0s
0.000408 1s 1s 0s 0s 1s 1s 0s 1s
0.000412 1s 1s 0s 0s 1s 0s 1s 1s
0.000416 1s 1s 0s 0s 1s 0s 0s 0s
0.00041999999999999996 1s 1s 0s 0s 0s 1s 1s 0s
0.000424 1s 1s 0s 0s 0s 0s 1s 1s
0.000428 1s 1s 0s 0s 0s 0s 0s 0s
0.000432 1s 0s 1s 1s 1s 1s 0s 1s
0.00043599999999999997 1s 0s 1s 1s 1s 0s 1s 1s
0.00043999999999999996 1s 0s 1s 1s 1s 0s 0s 0s
0.000444 1s 0s 1s 1s 0s 1s 0s 1s
0.000448 1s 0s 1s 1s 0s 0s 1s 0s
0.000452 1s 0s 1s 0s 1s 1s 1s 1s
0.00045599999999999997 1s 0s 1s 0s 1s 1s 0s 0s
0.00045999999999999996 1s 0s 1s 0s 1s 0s 0s 1s
0.000464 1s 0s 1s 0s 0s 1s 1s 0s
0.000468 1s 0s 1s 0s 0s 0s 1s 1s
0.000472 1s 0s 1s 0s 0s 0s 0s 0s
0.00047599999999999997 1s 0s 0s 1s 1s 1s 0s 1s
0.00047999999999999996 1s 0s 0s 1s 1s 0s 1s 0s
0.000484 1s 0s 0s 1s 0s 1s 1s 1s
0.000488 1s 0s 0s 1s 0s 1s 0s 0s
0.0004919999999999999 1s 0s 0s 1s 0s 0s 0s 1s
0.000496 1s 0s 0s 0s 1s 1s 1s 0s
0.0005 1s 0s 0s 0s 1s 0s 1s 1s
0.000504 1s 0s 0s 0s 0s 1s 1s 1s
0.000508 1s 0s 0s 0s 0s 1s 0s 0s
0.000512 1s 0s 0s 0s 0s 0s 0s 1s
0.000516 0s 1s 1s 1s 1s 1s 1s 0s
0.00052 0s 1s 1s 1s 1s 0s 1s 1s
0.0005239999999999999 0s 1s 1s 1s 1s 0s 0s 0s
0.0005279999999999999 0s 1s 1s 1s 0s 1s 0s 0s
0.000532 0s 1s 1s 1s 0s 0s 0s 1s
0.000536 0s 1s 1s 0s 1s 1s 1s 0s
0.00054 0s 1s 1s 0s 1s 0s 1s 1s
0.000544 0s 1s 1s 0s 1s 0s 0s 0s
0.000548 0s 1s 1s 0s 0s 1s 0s 1s
0.000552 0s 1s 1s 0s 0s 0s 1s 0s
0.000556 0s 1s 0s 1s 1s 1s 1s 1s
0.00056 0s 1s 0s 1s 1s 1s 0s 0s
0.0005639999999999999 0s 1s 0s 1s 1s 0s 0s 1s
0.0005679999999999999 0s 1s 0s 1s 0s 1s 1s 0s
0.000572 0s 1s 0s 1s 0s 0s 1s 1s
0.000576 0s 1s 0s 1s 0s 0s 0s 0s
0.00058 0s 1s 0s 0s 1s 1s 0s 1s
0.000584 0s 1s 0s 0s 1s 0s 1s 0s
0.000588 0s 1s 0s 0s 0s 1s 1s 1s
0.000592 0s 1s 0s 0s 0s 1s 0s 0s
0.000596 0s 1s 0s 0s 0s 0s 1s 0s
0.0006 0s 0s 1s 1s 1s 1s 1s 1s
0.0006039999999999999 0s 0s 1s 1s 1s 1s 0s 0s
0.0006079999999999999 0s 0s 1s 1s 1s 0s 0s 1s
0.000612 0s 0s 1s 1s 0s 1s 1s 1s
0.000616 0s 0s 1s 1s 0s 1s 0s 0s
0.00062 0s 0s 1s 1s 0s 0s 1s 0s
0.000624 0s 0s 1s 0s 1s 1s 1s 1s
0.000628 0s 0s 1s 0s 1s 1s 0s 1s
0.000632 0s 0s 1s 0s 1s 0s 1s 0s
0.000636 0s 0s 1s 0s 1s 0s 0s 0s
0.0006399999999999999 0s 0s 1s 0s 0s 1s 1s 0s
0.0006439999999999999 0s 0s 1s 0s 0s 1s 0s 0s
0.0006479999999999999 0s 0s 1s 0s 0s 0s 0s 1s
0.000652 0s 0s 0s 1s 1s 1s 1s 1s
0.000656 0s 0s 0s 1s 1s 1s 0s 1s
0.00066 0s 0s 0s 1s 1s 0s 1s 1s
0.000664 0s 0s 0s 1s 1s 0s 0s 1s
0.000668 0s 0s 0s 1s 0s 1s 1s 1s
0.000672 0s 0s 0s 1s 0s 1s 1s 0s
0.000676 0s 0s 0s 1s 0s 1s 0s 0s
0.0006799999999999999 0s 0s 0s 1s 0s 0s 1s 0s
0.0006839999999999999 0s 0s 0s 1s 0s 0s 0s 1s
0.0006879999999999999 0s 0s 0s 0s 1s 1s 1s 1s
0.000692 0s 0s 0s 0s 1s 1s 1s 0s
0.000696 0s 0s 0s 0s 1s 1s 0s 0s
0.0007 0s 0s 0s 0s 1s 0s 1s 1s
0.000704 0s 0s 0s 0s 1s 0s 1s 0s
0.000708 0s 0s 0s 0s 1s 0s 0s 0s
0.000712 0s 0s 0s 0s 0s 1s 1s 1s
0.000716 0s 0s 0s 0s 0s 1s 1s 0s
0.0007199999999999999 0s 0s 0s 0s 0s 1s 0s 1s
0.0007239999999999999 0s 0s 0s 0s 0s 1s 0s 0s
0.0007279999999999999 0s 0s 0s 0s 0s 1s 0s 0s
0.000732 0s 0s 0s 0s 0s 0s 1s 1s
0.000736 0s 0s 0s 0s 0s 0s 1s 0s
0.00074 0s 0s 0s 0s 0s 0s 1s 0s
0.000744 0s 0s 0s 0s 0s 0s 0s 1s
0.000748 0s 0s 0s 0s 0s 0s 0s 1s
0.000752 0s 0s 0s 0s 0s 0s 0s 0s
0.0007559999999999999 0s 0s 0s 0s 0s 0s 0s 0s
0.0007599999999999999 0s 0s 0s 0s 0s 0s 0s 0s
0.0007639999999999999 0s 0s 0s 0s 0s 0s 0s 0s
0.000768 0s 0s 0s 0s 0s 0s 0s 0s
0.000772 0s 0s 0s 0s 0s 0s 0s 0s
0.000776 0s 0s 0s 0s 0s 0s 0s 0s
0.00078 0s 0s 0s 0s 0s 0s 0s 0s
0.000784 0s 0s 0s 0s 0s 0s 0s 0s
0.000788 0s 0s 0s 0s 0s 0s 0s 0s
0.000792 0s 0s 0s 0s 0s 0s 0s 1s
0.0007959999999999999 0s 0s 0s 0s 0s 0s 0s 1s
0.0007999999999999999 0s 0s 0s 0s 0s 0s 1s 0s
0.0008039999999999999 0s 0s 0s 0s 0s 0s 1s 0s
0.000808 0s 0s 0s 0s 0s 0s 1s 1s
0.000812 0s 0s 0s 0s 0s 1s 0s 0s
0.000816 0s 0s 0s 0s 0s 1s 0s 1s
0.00082 0s 0s 0s 0s 0s 1s 1s 0s
0.000824 0s 0s 0s 0s 0s 1s 1s 1s
0.000828 0s 0s 0s 0s 1s 0s 0s 0s
0.000832 0s 0s 0s 0s 1s 0s 0s 1s
0.0008359999999999999 0s 0s 0s 0s 1s 0s 1s 0s
0.0008399999999999999 0s 0s 0s 0s 1s 1s 0s 0s
0.0008439999999999999 0s 0s 0s 0s 1s 1s 0s 1s
0.000848 0s 0s 0s 0s 1s 1s 1s 0s
0.000852 0s 0s 0s 1s 0s 0s 0s 0s
0.000856 0s 0s 0s 1s 0s 0s 0s 1s
0.00086 0s 0s 0s 1s 0s 0s 1s 1s
0.000864 0s 0s 0s 1s 0s 1s 0s 1s
0.000868 0s 0s 0s 1s 0s 1s 1s 1s
0.0008719999999999999 0s 0s 0s 1s 1s 0s 0s 0s
0.0008759999999999999 0s 0s 0s 1s 1s 0s 1s 0s
0.0008799999999999999 0s 0s 0s 1s 1s 1s 0s 0s
0.0008839999999999999 0s 0s 0s 1s 1s 1s 1s 0s
0.000888 0s 0s 1s 0s 0s 0s 0s 0s
0.000892 0s 0s 1s 0s 0s 0s 1s 1s
0.000896 0s 0s 1s 0s 0s 1s 0s 1s
0.0009 0s 0s 1s 0s 0s 1s 1s 1s
0.000904 0s 0s 1s 0s 1s 0s 0s 1s
0.000908 0s 0s 1s 0s 1s 1s 0s 0s
0.0009119999999999999 0s 0s 1s 0s 1s 1s 1s 0s
0.0009159999999999999 0s 0s 1s 1s 0s 0s 0s 0s
0.0009199999999999999 0s 0s 1s 1s 0s 0s 1s 1s
0.0009239999999999999 0s 0s 1s 1s 0s 1s 1s 0s
0.000928 0s 0s 1s 1s 1s 0s 0s 0s
0.000932 0s 0s 1s 1s 1s 0s 1s 1s
0.000936 0s 0s 1s 1s 1s 1s 0s 1s
0.00094 0s 1s 0s 0s 0s 0s 0s 0s
0.000944 0s 1s 0s 0s 0s 0s 1s 1s
0.000948 0s 1s 0s 0s 0s 1s 1s 0s
0.0009519999999999999 0s 1s 0s 0s 1s 0s 0s 1s
0.0009559999999999999 0s 1s 0s 0s 1s 0s 1s 1s
0.0009599999999999999 0s 1s 0s 0s 1s 1s 1s 0s
0.0009639999999999999 0s 1s 0s 1s 0s 0s 0s 1s
0.000968 0s 1s 0s 1s 0s 1s 0s 0s
0.000972 0s 1s 0s 1s 0s 1s 1s 1s
0.000976 0s 1s 0s 1s 1s 0s 1s 0s
0.00098 0s 1s 0s 1s 1s 1s 0s 1s
0.0009839999999999998 0s 1s 1s 0s 0s 0s 0s 0s
0.000988 0s 1s 1s 0s 0s 0s 1s 1s
0.000992 0s 1s 1s 0s 0s 1s 1s 0s
0.000996 0s 1s 1s 0s 1s 0s 1s 0s
0.001 0s 1s 1s 0s 1s 1s 0s 1s
0.001004 0s 1s 1s 1s 0s 0s 0s 0s
0.001008 0s 1s 1s 1s 0s 0s 1s 1s
0.0010119999999999999 0s 1s 1s 1s 0s 1s 1s 0s
0.001016 0s 1s 1s 1s 1s 0s 0s 1s
0.0010199999999999999 0s 1s 1s 1s 1s 1s 0s 0s
0.001024 0s 1s 1s 1s 1s 1s 1s 1s
0.001028 1s 0s 0s 0s 0s 0s 1s 1s
0.001032 1s 0s 0s 0s 0s 1s 1s 0s
0.001036 1s 0s 0s 0s 1s 0s 0s 1s
0.00104 1s 0s 0s 0s 1s 1s 0s 0s
0.001044 1s 0s 0s 0s 1s 1s 1s 1s
0.0010479999999999999 1s 0s 0s 1s 0s 0s 1s 0s
0.001052 1s 0s 0s 1s 0s 1s 0s 1s
0.0010559999999999999 1s 0s 0s 1s 1s 0s 0s 1s
0.00106 1s 0s 0s 1s 1s 1s 0s 0s
0.001064 1s 0s 0s 1s 1s 1s 1s 1s
0.001068 1s 0s 1s 0s 0s 0s 1s 0s
0.001072 1s 0s 1s 0s 0s 1s 0s 1s
0.001076 1s 0s 1s 0s 1s 0s 0s 0s
0.00108 1s 0s 1s 0s 1s 0s 1s 1s
0.001084 1s 0s 1s 0s 1s 1s 1s 0s
0.001088 1s 0s 1s 1s 0s 0s 0s 1s
0.0010919999999999999 1s 0s 1s 1s 0s 1s 0s 0s
0.001096 1s 0s 1s 1s 0s 1s 1s 0s
0.0010999999999999998 1s 0s 1s 1s 1s 0s 0s 1s
0.001104 1s 0s 1s 1s 1s 1s 0s 0s
0.001108 1s 0s 1s 1s 1s 1s 1s 1s
0.001112 1s 1s 0s 0s 0s 0s 1s 0s
0.001116 1s 1s 0s 0s 0s 1s 0s 0s
0.00112 1s 1s 0s 0s 0s 1s 1s 1s
0.001124 1s 1s 0s 0s 1s 0s 0s 1s
0.0011279999999999999 1s 1s 0s 0s 1s 1s 0s 0s
0.001132 1s 1s 0s 0s 1s 1s 1s 1s
0.0011359999999999999 1s 1s 0s 1s 0s 0s 0s 1s
0.00114 1s 1s 0s 1s 0s 0s 1s 1s
0.001144 1s 1s 0s 1s 0s 1s 1s 0s
0.001148 1s 1s 0s 1s 1s 0s 0s 0s
0.001152 1s 1s 0s 1s 1s 0s 1s 0s
0.001156 1s 1s 0s 1s 1s 1s 0s 0s
0.00116 1s 1s 0s 1s 1s 1s 1s 1s
0.0011639999999999999 1s 1s 1s 0s 0s 0s 0s 1s
0.001168 1s 1s 1s 0s 0s 0s 1s 1s
0.0011719999999999999 1s 1s 1s 0s 0s 1s 0s 1s
0.001176 1s 1s 1s 0s 0s 1s 1s 1s
0.0011799999999999998 1s 1s 1s 0s 1s 0s 0s 0s
0.001184 1s 1s 1s 0s 1s 0s 1s 0s
0.001188 1s 1s 1s 0s 1s 1s 0s 0s
0.001192 1s 1s 1s 0s 1s 1s 1s 0s
0.001196 1s 1s 1s 0s 1s 1s 1s 1s
0.0012 1s 1s 1s 1s 0s 0s 0s 1s
0.001204 1s 1s 1s 1s 0s 0s 1s 0s
0.0012079999999999999 1s 1s 1s 1s 0s 0s 1s 1s
0.001212 1s 1s 1s 1s 0s 1s 0s 1s
0.0012159999999999999 1s 1s 1s 1s 0s 1s 1s 0s
0.00122 1s 1s 1s 1s 0s 1s 1s 1s
0.001224 1s 1s 1s 1s 1s 0s 0s 0s
0.001228 1s 1s 1s 1s 1s 0s 0s 1s
0.001232 1s 1s 1s 1s 1s 0s 1s 0s
0.001236 1s 1s 1s 1s 1s 0s 1s 1s
0.00124 1s 1s 1s 1s 1s 1s 0s 0s
0.0012439999999999999 1s 1s 1s 1s 1s 1s 0s 1s
0.001248 1s 1s 1s 1s 1s 1s 0s 1s
0.0012519999999999999 1s 1s 1s 1s 1s 1s 1s 0s
0.001256 1s 1s 1s 1s 1s 1s 1s 0s
0.0012599999999999998 1s 1s 1s 1s 1s 1s 1s 1s
0.001264 1s 1s 1s 1s 1s 1s 1s 1s
0.001268 1s 1s 1s 1s 1s 1s 1s 1s
0.001272 1s 1s 1s 1s 1s 1s 1s 1s
0.001276 1s 1s 1s 1s 1s 1s 1s 1s
0.0012799999999999999 1s 1s 1s 1s 1s 1s 1s 1s
0.001284 1s 1s 1s 1s 1s 1s 1s 1s
0.0012879999999999999 1s 1s 1s 1s 1s 1s 1s 1s
0.001292 1s 1s 1s 1s 1s 1s 1s 1s
0.0012959999999999998 1s 1s 1s 1s 1s 1s 1s 1s
0.0013 1s 1s 1s 1s 1s 1s 1s 0s
0.001304 1s 1s 1s 1s 1s 1s 1s 0s
0.001308 1s 1s 1s 1s 1s 1s 0s 1s
0.001312 1s 1s 1s 1s 1s 1s 0s 1s
0.001316 1s 1s 1s 1s 1s 1s 0s 0s
0.00132 1s 1s 1s 1s 1s 0s 1s 1s
0.0013239999999999999 1s 1s 1s 1s 1s 0s 1s 1s
0.001328 1s 1s 1s 1s 1s 0s 1s 0s
0.0013319999999999999 1s 1s 1s 1s 1s 0s 0s 1s
0.001336 1s 1s 1s 1s 1s 0s 0s 0s
0.00134 1s 1s 1s 1s 0s 1s 1s 1s
0.001344 1s 1s 1s 1s 0s 1s 0s 1s
0.001348 1s 1s 1s 1s 0s 1s 0s 0s
0.001352 1s 1s 1s 1s 0s 0s 1s 1s
0.001356 1s 1s 1s 1s 0s 0s 0s 1s
0.0013599999999999999 1s 1s 1s 1s 0s 0s 0s 0s
0.001364 1s 1s 1s 0s 1s 1s 1s 0s
0.0013679999999999999 1s 1s 1s 0s 1s 1s 0s 1s
0.001372 1s 1s 1s 0s 1s 0s 1s 1s
0.0013759999999999998 1s 1s 1s 0s 1s 0s 0s 1s
0.00138 1s 1s 1s 0s 1s 0s 0s 0s
0.001384 1s 1s 1s 0s 0s 1s 1s 0s
0.001388 1s 1s 1s 0s 0s 1s 0s 0s
0.001392 1s 1s 1s 0s 0s 0s 1s 0s
0.0013959999999999999 1s 1s 1s 0s 0s 0s 0s 0s
0.0014 1s 1s 0s 1s 1s 1s 1s 0s
0.0014039999999999999 1s 1s 0s 1s 1s 0s 1s 1s
0.001408 1s 1s 0s 1s 1s 0s 0s 1s
0.0014119999999999998 1s 1s 0s 1s 0s 1s 1s 1s
0.001416 1s 1s 0s 1s 0s 1s 0s 1s
0.00142 1s 1s 0s 1s 0s 0s 1s 0s
0.001424 1s 1s 0s 1s 0s 0s 0s 0s
0.001428 1s 1s 0s 0s 1s 1s 0s 1s
0.001432 1s 1s 0s 0s 1s 0s 1s 1s
0.001436 1s 1s 0s 0s 1s 0s 0s 0s
0.0014399999999999999 1s 1s 0s 0s 0s 1s 1s 0s
0.001444 1s 1s 0s 0s 0s 0s 1s 1s
0.0014479999999999999 1s 1s 0s 0s 0s 0s 0s 0s
0.001452 1s 0s 1s 1s 1s 1s 0s 1s
0.0014559999999999998 1s 0s 1s 1s 1s 0s 1s 1s
0.00146 1s 0s 1s 1s 1s 0s 0s 0s
0.001464 1s 0s 1s 1s 0s 1s 0s 1s
0.001468 1s 0s 1s 1s 0s 0s 1s 0s
0.001472 1s 0s 1s 0s 1s 1s 1s 1s
0.0014759999999999999 1s 0s 1s 0s 1s 1s 0s 0s
0.00148 1s 0s 1s 0s 1s 0s 0s 1s
0.0014839999999999999 1s 0s 1s 0s 0s 1s 1s 0s
0.001488 1s 0s 1s 0s 0s 0s 1s 1s
0.0014919999999999998 1s 0s 1s 0s 0s 0s 0s 0s
0.001496 1s 0s 0s 1s 1s 1s 0s 1s
0.0015 1s 0s 0s 1s 1s 0s 1s 0s
0.001504 1s 0s 0s 1s 0s 1s 1s 1s
0.001508 1s 0s 0s 1s 0s 1s 0s 0s
0.0015119999999999999 1s 0s 0s 1s 0s 0s 0s 1s
0.001516 1s 0s 0s 0s 1s 1s 1s 0s
0.0015199999999999999 1s 0s 0s 0s 1s 0s 1s 1s
0.001524 1s 0s 0s 0s 0s 1s 1s 1s
0.0015279999999999998 1s 0s 0s 0s 0s 1s 0s 0s
0.001532 1s 0s 0s 0s 0s 0s 0s 1s
0.001536 0s 1s 1s 1s 1s 1s 1s 0s
0.00154 0s 1s 1s 1s 1s 0s 1s 1s
0.001544 0s 1s 1s 1s 1s 0s 0s 0s
0.001548 0s 1s 1s 1s 0s 1s 0s 0s
0.001552 0s 1s 1s 1s 0s 0s 0s 1s
0.0015559999999999999 0s 1s 1s 0s 1s 1s 1s 0s
0.00156 0s 1s 1s 0s 1s 0s 1s 1s
0.0015639999999999999 0s 1s 1s 0s 1s 0s 0s 0s
0.001568 0s 1s 1s 0s 0s 1s 0s 1s
0.0015719999999999998 0s 1s 1s 0s 0s 0s 1s 0s
0.001576 0s 1s 0s 1s 1s 1s 1s 1s
0.00158 0s 1s 0s 1s 1s 1s 0s 0s
0.001584 0s 1s 0s 1s 1s 0s 0s 1s
0.001588 0s 1s 0s 1s 0s 1s 1s 0s
0.0015919999999999999 0s 1s 0s 1s 0s 0s 1s 1s
0.001596 0s 1s 0s 1s 0s 0s 0s 0s
0.0015999999999999999 0s 1s 0s 0s 1s 1s 0s 1s
0.001604 0s 1s 0s 0s 1s 0s 1s 0s
0.0016079999999999998 0s 1s 0s 0s 0s 1s 1s 1s
0.001612 0s 1s 0s 0s 0s 1s 0s 0s
0.001616 0s 1s 0s 0s 0s 0s 1s 0s
0.00162 0s 0s 1s 1s 1s 1s 1s 1s
0.001624 0s 0s 1s 1s 1s 1s 0s 0s
0.0016279999999999999 0s 0s 1s 1s 1s 0s 0s 1s
0.001632 0s 0s 1s 1s 0s 1s 1s 1s
0.0016359999999999999 0s 0s 1s 1s 0s 1s 0s 0s
0.00164 0s 0s 1s 1s 0s 0s 1s 0s
0.0016439999999999998 0s 0s 1s 0s 1s 1s 1s 1s
0.001648 0s 0s 1s 0s 1s 1s 0s 1s
0.0016519999999999998 0s 0s 1s 0s 1s 0s 1s 0s
0.001656 0s 0s 1s 0s 1s 0s 0s 0s
0.00166 0s 0s 1s 0s 0s 1s 1s 0s
0.001664 0s 0s 1s 0s 0s 1s 0s 0s
0.001668 0s 0s 1s 0s 0s 0s 0s 1s
0.0016719999999999999 0s 0s 0s 1s 1s 1s 1s 1s
0.001676 0s 0s 0s 1s 1s 1s 0s 1s
0.0016799999999999999 0s 0s 0s 1s 1s 0s 1s 1s
0.001684 0s 0s 0s 1s 1s 0s 0s 1s
0.0016879999999999998 0s 0s 0s 1s 0s 1s 1s 1s
0.001692 0s 0s 0s 1s 0s 1s 1s 0s
0.001696 0s 0s 0s 1s 0s 1s 0s 0s
0.0017 0s 0s 0s 1s 0s 0s 1s 0s
0.001704 0s 0s 0s 1s 0s 0s 0s 1s
0.0017079999999999999 0s 0s 0s 0s 1s 1s 1s 1s
0.001712 0s 0s 0s 0s 1s 1s 1s 0s
0.0017159999999999999 0s 0s 0s 0s 1s 1s 0s 0s
0.00172 0s 0s 0s 0s 1s 0s 1s 1s
0.0017239999999999998 0s 0s 0s 0s 1s 0s 1s 0s
0.001728 0s 0s 0s 0s 1s 0s 0s 0s
0.0017319999999999998 0s 0s 0s 0s 0s 1s 1s 1s
0.001736 0s 0s 0s 0s 0s 1s 1s 0s
0.00174 0s 0s 0s 0s 0s 1s 0s 1s
0.0017439999999999999 0s 0s 0s 0s 0s 1s 0s 0s
0.001748 0s 0s 0s 0s 0s 1s 0s 0s
0.0017519999999999999 0s 0s 0s 0s 0s 0s 1s 1s
0.001756 0s 0s 0s 0s 0s 0s 1s 0s
0.0017599999999999998 0s 0s 0s 0s 0s 0s 1s 0s
0.001764 0s 0s 0s 0s 0s 0s 0s 1s
0.0017679999999999998 0s 0s 0s 0s 0s 0s 0s 1s
0.001772 0s 0s 0s 0s 0s 0s 0s 0s
0.001776 0s 0s 0s 0s 0s 0s 0s 0s
0.00178 0s 0s 0s 0s 0s 0s 0s 0s
0.001784 0s 0s 0s 0s 0s 0s 0s 0s
0.0017879999999999999 0s 0s 0s 0s 0s 0s 0s 0s
0.001792 0s 0s 0s 0s 0s 0s 0s 0s
0.0017959999999999999 0s 0s 0s 0s 0s 0s 0s 0s
0.0018 0s 0s 0s 0s 0s 0s 0s 0s
0.0018039999999999998 0s 0s 0s 0s 0s 0s 0s 0s
0.001808 0s 0s 0s 0s 0s 0s 0s 0s
0.001812 0s 0s 0s 0s 0s 0s 0s 1s
0.001816 0s 0s 0s 0s 0s 0s 0s 1s
0.00182 0s 0s 0s 0s 0s 0s 1s 0s
0.0018239999999999999 0s 0s 0s 0s 0s 0s 1s 0s
